"Materia;Pregunta;Respuesta_correcta;Opcion2;Opcion3;Opcion4;Explicacion"
"Acertijo;No soy nada y tengo nombre, siempre ire pegada a ti, así seas mujer un hombre nunca te escaparas de mi, ¿Quien soy?;La sombra;El alma;Un fantasma;El gato;"
"Acertijo;Esta planta no tiene raíces, pero siempre esta por debajo, nadie le da importancia pero todos los días la usas, ¿Qué planta es?;La planta de los piés;Las papas;Las medias de los zapatos;Ninguna;"
"Acertijo;El que la hace la vende, el que la compra no la usa nunca y el que la usa nunca la ve;El Ataud;El lana;Los platos;El lapiz;"
"Acertijo;Oro no es, Plata no es Que es;El Plátano;La Plata;El Bronce;El Hierro;"
"Acertijo;Pobrecito, pobrecito, todo el día sin parar y no sale de su sitio.;El reloj;La cocinare;El burro; El conserje;"
"Acertijo;Cuatro hermanas gemelas dan mil vueltas paralelas. Giran, giran, siempre danzan, mas nunca jamás se alcanzan.;Las aspas del molino;Las flores del campo;Las hojas del arbol;El trigo;"
"Acertijo;Todos me pisan a mí, pero yo no piso a nadie. todos preguntan por mí, yo no pregunto por nadie.;El camino;El Obrero; La serpiente; No se;"
"Acertijo;Locomotora no soy, mas cuando con vapor voy, dejo muy alisado si me usan con cuidado.;La plancha;El tren;La tetera;El gas;"
"Acertijo;Es de color naranja tanto por dentro como por fuera ¿Qué cosa es?;La naranja;La pera;Camote;Una pelota de tennis;mensaje distinto."
"Acertijo;Tengo hojas, soy muy muy alto, y en mis ramas duermen los pájaros.;El Árbol;El Libro; La Piedra, El Espantapajaro;"
"Acertijo;A veces soy mensajera y símbolo de la paz, y en parques y jardines me puedes encontrar ¿Qué soy?;La paloma;Hitler;Osama bin Laden;Obama;"
"Acertijo;¿Qué es lo que aún no ha sido, que debe ser, pero cuando lo sea ya no lo será?;El dia de mañana;El dia de hoy;La paz;No se :V ;"
"Acertijo;Si tú vas manejando un camión y el camión tiene 50 personas; se bajan siete ¿Cuántos años tiene el conductor?;Tu edad;50;60;45; Tu eres el conductor"
"Acertijo;¿Qué es lo que se rompe cuando se pronuncia?;El silencio;Tu dignidad;La paz; Tu corazon al escuchar su nombre;"
"Acertijo;¿Cuál es el instrumento que no se puede ver ni tocar, pero todos lo pueden escuchar?;La voz;El wifi;El aire;Ondas Termicas;Es un sonido que sale de nuestas cuerdas "
"Acertijo;Alimentame y Viviré, dame agua y moriré ¿Qué Soy?;El fuego;El agua;La tierra;El avatar;"
"Acertijo;Tengo 34 caballos, 15 cerdos y 13 gallinas. Si a los cerdos les llamamos caballos ¿Cuántos caballos tengo?;34;49;13;0;Asi le cambien a los cerdos el nombre, seguiras "
"Acertijo;Soy chiquito como un ratón y cuido la casa como un león ¿Qué soy?;El candado;El gato;El vecino;La puerta;"
"Acertijo;Brillo más en la oscuridad; siempre estoy, pero no me ven. Tenerme no les cuesta nada, perderme les cuesta todo ¿Qué soy?;La Esperanza; La Luz; El celular; Libelula;"
"Acertijo;No tengo números ni puntero, y a pesar de dar la hora siempre soy el más certero.;El sol;El reloj de mano;El celular; No se;"
"Acertijo;Blanca soy, del mar salí, y ricos y pobres se aprovechan de mi.;La Sal; La cirenita; Bella Cullen; Algodon;"
"Acertijo;Fuí a la feria, compré un negrito, llegue a la casa y se puso coloradito.;El carbon;El negrito; Tabaco; Helado;"
"Acertijo; Lana sube Lana Baja si no te cuidas te raja que es? ; La navaja; La escalera; La Tejedora; La abuelita; Lo que te puede cortar es la navaja."
"Acertijo;Si estoy desinflado quedo chiquito, si me llenan de aire estoy redondito.;El globo;Un gordito; Pez globo;No se;"
"Acertijo;¿Qué es lo que Adán tiene por delante que Eva lo tiene atrás?;La letra A;La melena; El tapa rabo; La camisa;"
"Acertijo; Hay 2 pilotos uno es Ecuatoriano y el otro Peruano como se llaman los pilotos? ;Radio ; Jorge ;colombiano ;Nacionalidades; Ellos se llaman por la radio"
"Acertijo;¿Cuál es el animal que después de muerto da más vueltas?;El pollo asado;El pulpo;El oso;Camaleon;"
"Acertijo;Un niño nace en Madrid y al cabo de un año se va a vivir a Barcelona ¿En dónde le saldrán los dientes?;En la boca; Barcelona; España; Madrid;"
