"Materia;Pregunta;Respuesta_correcta;Opcion2;Opcion3;Opcion4;Explicacion"
"ciencias;¿Cuál de las siguientes enfermedades ataca al higado?;Hepatitis;Diabetes;Diabetes;Artrósis;Cifoescoliosis;La hepatitis es una inflamación del hígado. La afección puede remitir espontáneamente o evolucionar hacia una fibrosis (cicatrización), una cirrosis o un cáncer de hígado"
"ciencias;¿Cuál es la función principal del instestino grueso?;La absorción de agua;La absorción de nutrientes;La digestión mecánica de los alimentos;La absorción de agua;La digestión química de alimentos;La función mayor del intestino grueso es absorber el agua de la materia indigesta restante de la comida y transmitir el material de desecho inútil del cuerpo"
"ciencias;¿Qué hay en la boca del estómago?;El cardias;El píloro;El píloro;Los ácidos gástricos;El epilón mayor;El cardias puede denominarse unión gastroesofágica y se encuentra en el sector donde se unen el epitelio escamoso estratificado del esófago con el epitelio cilíndrico que forma parte del tracto digestivo"
"ciencias;¿Qué cambio de estado ocurre en la sublimación?;De sólido a gaseoso;De sólido a líquido;De gaseoso a líquido;De líquido a solido;La sublimación se define como un proceso endotérmico de transición entre fase sólida y gaseosa que ocurre a temperaturas inferiores al punto triple del diagrama de fase de una sustancia"
"ciencias;¿Qué órgano del cuerpo humano produce la bilis?;Hígado;Páncreas;Intestino delgado;Riñon;La bilis es una sustancia líquida amarillenta, amarronada o de color verde oliva y de sabor amargo producida por el hígado de muchos vertebrados"
"ciencias;¿Cuál es la fórmula del dióxido de carbono?;CO2;H2O;CO;HCO;El dióxido de carbono (CO2) es un gas incoloro, denso y poco reactivo y forma parte de la composición de la tropósfera (capa de la atmósfera más próxima a la Tierra) donde su ciclo en la naturaleza está vinculado al del oxígeno"
"ciencias;¿Cómo conocemos comunmente al compuesto químico H2O2?;Agua oxigenada;Agua fuerte;Agua pesada;Aguarrás;El peróxido de hidrógeno (H2O2), también conocido como agua oxigenada es un compuesto químico con características de un líquido altamente polar donde se encuentra fuer­temente enlazado con el hidrógeno tal como el agua."
"ciencias;Los glóbulos rojos también se llaman;Eritrocitos;Rojos;Plaquetas;Newtons;Los eritrocitos también llamados glóbulos rojos o hematíes y son las células más numerosas de la sangre"
"ciencias;¿Que sonido hacen las gallinas?;Cararean;Mugen;Relinchan;Maullan;Científicamente se han distinguido ya 33 cacareos diferentes y cada uno de ellos tiene un mensaje distinto."
"ciencias;¿Cuál es la sustancia deficiente en los diabéticos?;Insulina;Glucagon;Incretina;Bilirrunina;La insulina es una hormona polipeptídica formada por 51 aminoácidos también producida y secretada por las células beta de los islotes de Langerhans del páncreas"
"ciencias;¿Qué parte del cuerpo tiene 27 huesos y 35 músculos?;Mano;Pelvis;Mandíbula;Corazón"
"ciencias;¿Qué es la queratina?;Una proteína;Un lípido;Un ácido nucleico;Veneno;Proteína rica en azufre que constituye la parte fundamental de las capas más externas de la epidermis y de tejidos como las uñas, el pelo, las plumas, las pezuñas o los cuernos"
"ciencias;¿Qué significan las siglas ""www""?;World Wide Web;Wikipedia World Web;World Wild West;Todas son correctas;World Wide Web (WWW) o red informática mundial? es un sistema de distribución de documentos de hipertexto o hipermedios interconectados y accesibles vía Internet"
"ciencias;¿Que tiene más concentración de sal?;La orina;La sangre;El sudor;Las lágrimas;La orina es un líquido compuesto por agua y sustancias que el organismo separa que es secretada por los riñones después de la filtración de la sangre y esta tambien se almacena en la vejiga y se elimina durante la micción"
"ciencias;¿Qué es el caracol?;Molusco;Crustáceo;Babosa;Reptil;Caracol es el nombre común de los moluscos gasterópodos provistos de una concha espiral"
"ciencias;¿Dónde tienen las papilas gustativas las moscas?;En las patas;En la trompa;En las alas;No tienen;Las moscas tienen 15.000 papilas gustativas repartidas por sus patas y se frotan las patas para botar toda suciedad de ellas con un líquido que hace que expulse cualquier suciedad con solo frotarse las patas"
"ciencias;¿Cuál es el símbolo químico del fósforo?;P;F;Fo;Ps;El fósforo es un elemento químico de número atómico 15 y símbolo P y es un no metal multivalente."
"ciencias;¿Cuales de los siguientes no es un grupo sanguíneo?;OO;B;AB;O;Un grupo sanguíneo es una clasificación de la sangre de acuerdo con las características presentes o no en la superficie de los glóbulos rojos y en el suero de la sangre"
"ciencias;¿Cuál de estos NO es un musculo del cuerpo?;Cruzado;Gemelos;Espinal;Sartorio;Los músculos son tejidos blandos que permiten el movimiento de los huesos y de las articulaciones"
"ciencias;¿Cuál es el símbolo de Bromo?;Br;Bh;B;No es un elemento sino un compuesto;El bromo a temperatura ambiente es un líquido rojo, volátil y denso"
"ciencias;¿Quién formuló la teoría de la relatividad general?;Albert Einstein;Isaac Newton;Erwin Schrodinger;Stephen Hawking;La teoría de la relatividad general es una teoría de la gravedad que reemplaza a la gravedad newtoniana, aunque coincide numéricamente con ella para campos gravitatorios débiles y ""pequeñas"" velocidades."
"ciencias;¿Cómo se llama la técnica de cultivo de especies acuáticas vegetales y animales?;Acuicultura;Apicultura;Aguacultura;Hidrocultura;La acuicultura es un compendio de diferentes tipos de cultivos, en función de la especie, agua, clima, sistemas de cultivo, etc."
"ciencias;¿Qué animal puede correr sobre el agua?;Lagarto basilisco;Lagartija;El pato;Ninguno;Sus patas posteriores están provistas de unos lóbulos dérmicos que funcionan como aletas, los cuales aumentan la superficie de apoyo sobre el agua."
"ciencias;¿Qué es el esternocleidomastoideo?;Un músculo;Un tendón;Un ligamento;Un hueso;El músculo esternocleidomastoideo: Se encuentran en la zona lateral del cuello."
"ciencias;¿De que país proviene del pez dorado?;China;Japón;Pakistán;Sri Lanka;El carpín dorado, carpa dorada o mejor conocido como pez dorado (Carassius auratus) es una especie de pez de agua dulce de la familia Cyprinidae y fue domesticado por primera vez en China hace más de mil años"
"ciencias;¿A qué parte del cuerpo afecta la enfermedad de Crohn?;Intestino;Corazón;Pulmón;Ojo;La enfermedad de Crohn es una enfermedad inflamatoria crónica con manifestaciones intermitentes que afectan principalmente al tracto gastrointestinal, en toda su extensión (desde la boca hasta el ano)"
"ciencias;¿Qué es la estrella de mar?;Equinodermo;Cordado;Lepidóptero;Anélido.;Las estrellas de mar son una clase del filo Echinodermata (equinodermos) de simetría pentarradial, cuerpo aplanado formado por un disco pentagonal con cinco brazos o más."
"ciencias;Si te hacen una angiografía, ¿qué están fotografiando?;Los vasos sanguíneos;Los músculos coronarios;Las neuronas;Los ojos;La angiografía es un examen de diagnóstico por imagen cuya función es el estudio de los vasos sanguíneos que no son visibles mediante la radiología convencional."
"ciencias;¿Cómo se llama la amnesia caracterizada por una incapacidad para recordar los eventos ocurridos después de haber sufrido una lesión cerebral?;Amnesia anterógrada;Amnesia lacunar;Amnesia retrógrada;Amnesia de fuente;La amnesia anterógrada es un tipo de amnesia, o pérdida de memoria, donde los nuevos acontecimientos no se guardan en la memoria a largo plazo, es decir, la persona afectada no es capaz de recordar algo si deja de prestarle atención unos segundos."
"ciencias;¿Qué nombre recibe el defecto vistual que consiste en que el eje de los ojos no está centrado?;Estrabismo;Miopía;Astigmatismo;Hipermetropía;El estrabismo es un problema visual donde un ojo puede mirar hacia delante, mientras que el otro se vuelve hacia adentro, hacia afuera, hacia arriba o hacia abajo"
"ciencias;¿Qué componente de ADN se uno en su estructura con la guanina?;Citosina;Timina;Adenina;Ninguna es correcta;La citosina es una de las cinco bases nitrogenadas que forman parte de los ácidos nucleicos (ADN y ARN) y en el código genético se representa con la letra C."
"ciencias;¿Cómo se llaman las lesiones en la pared del tubo digestivo?;Úlcera;Quebradura;Ruptura;Hernia;"
"ciencias;¿Qué es el colesterol?;Un lipido;Una proteína;Un glúcido;Un ácido nucleico;"
"ciencias;¿Cómo se llama la torcedura de una articulación en el cuerpo?;Esguince;Desgarro;Rotura;Contusión;"
"ciencias;¿Cuál de las siguientes enfermedades es muy común en los mayores por la disminución de la densidad de los huesos?;Osteoporosis;Esclerosis;Artrosis;Bursitis;"
"ciencias;¿Qué enfermedad se caracteriza por repentinos ataques de sueño?;Narcolepsia;Somnolencia;Insomnio;Hipersomnia;"
"ciencias;¿De dónde forman parte los axones?;Neurona;Tendón;Huesos;Corteza Cerebral;"
"ciencias;¿Qué es lo que más lugar ocupa en el cerebro humano?;Hemisferios cerebrales;Hipocampo;Cuerpo amigdalino;Cerebelo;"
"ciencias;¿Qué significan las siglas USB?;Universal Serial Bus;Universal Serial Button;Uniform Serial Bus;Uniform Sonic Boom;"
"ciencias;¿A qué tienes miedo si sufres de aracnofobia?;Arañas;Elefantes;Hormigas;Mirlos;"
"ciencias;¿Cómo se llaman las pinzas especiales que se usan en obstetricia para sujetar la cabeza del bebé y hacer tracción sobre ella en los partos difíciles?;Forceps;Ventosa;Goniómetro;Espéculo;"
"ciencias;¿Cómo llaman los dentistas a 'matar un nervio'?;Endodoncia;Extracción;Ortodoncia;Proxilaxis bucal;"
"ciencias;¿Cómo llamamos a la inflamación de la piel?;Dermatitis;Urticaria;Psoriasis;Acné;"
"ciencias;¿Cuál es la distribución de Linux más usada?;Ubunto;Debian;Fedora;Mint;"
